x	y	class
1.236379482	0.483247645	0
-2.918063584	0.038553923	0
0.933669863	0.421509778	0
1.687231156	3.031157799	0
-2.823250739	-3.35787374	0
2.911930673	3.110068619	0
-2.815300708	-3.931013785	0
3.175025498	-1.64762951	0
3.504053277	2.292664971	0
2.084341133	3.125325074	0
-1.182578539	-1.548307818	0
-4.372800901	1.796517513	0
-3.618827614	3.178236308	0
-3.464857118	0.408354551	0
3.093875578	-3.40574232	0
-1.315234047	2.728103811	0
0.99764107	-2.614545656	0
0.747678483	3.109938743	0
-3.279826092	1.46143666	0
-1.426181122	0.080290362	0
-1.493280397	3.332822799	0
-0.182117238	-2.344855839	0
0.339051779	-1.524191283	0
-4.023092958	2.192115101	0
3.057996119	2.971830139	0
-0.725173414	-3.657151608	0
-3.673947619	1.670484061	0
3.329397531	-1.342531154	0
-2.507403487	-1.090973662	0
3.142606923	-3.1242611	0
-4.530161894	-1.480584541	0
-1.672569499	3.736414836	0
-2.563613034	3.242579912	0
-2.928200917	1.474043201	0
2.343736751	-2.227319888	0
-1.360560384	1.433810858	0
-2.516000646	2.919437768	0
-2.033594451	2.563315643	0
-0.398327737	-4.885663896	0
-0.070601786	-1.349156541	0
1.890175929	4.527577913	0
4.308370981	0.475109943	0
-3.261351533	1.715139018	0
1.863988043	1.415330495	0
2.237011186	-1.620449582	0
0.656265724	2.358209978	0
3.799804773	1.376172211	0
-1.294566755	-0.394942991	0
-2.15568195	3.703067242	0
-0.007648927	3.106162949	0
0.646553728	-3.522811615	0
3.339816282	2.148211299	0
1.378045697	-0.972715517	0
0.437256888	1.535376077	0
2.49946547	1.688774132	0
-2.365867754	-3.47037252	0
3.394518882	1.969825855	0
3.235319864	-0.134402622	0
-1.178054359	0.956390737	0
-1.217312981	-3.635517466	0
-2.458659296	0.323389993	0
0.455557325	3.574925819	0
1.28339612	-3.030884039	0
2.000855311	-1.184026358	0
0.313701353	-3.201329751	0
1.484849494	-1.724311916	0
-0.214231483	2.782276305	0
1.444597989	-2.206412765	0
-0.843119965	1.824820691	0
-2.260364813	1.386691717	0
-0.762026043	2.807312544	0
-1.064687647	-2.277853155	0
0.434075688	-4.133986126	0
3.672922451	0.026103938	0
-1.014891389	0.62927804	0
3.575426521	1.264446773	0
0.863592268	3.174584582	0
-1.319910871	-3.005207596	0
-3.426625946	2.643462424	0
1.959056582	3.507788961	0
1.5949284	3.556414331	0
-2.661426255	1.52573927	0
-4.259857498	1.123215459	0
-0.973535817	1.234722394	0
-1.150967903	4.42676528	0
2.055801757	0.303150284	0
1.071155075	-3.909177269	0
2.665969678	0.133659956	0
-0.810026398	-4.753311601	0
-2.252269942	0.416177897	0
-1.409297325	-4.741216631	0
1.917125663	-2.959803329	0
-1.219205917	-2.962202105	0
0.931970689	4.435041263	0
-0.470233563	-2.841401036	0
2.652353116	1.519274334	0
3.846719582	3.002352921	0
-1.5622201	-0.068288251	0
-2.108667775	-2.281125114	0
-2.630271719	1.14690421	0
8.769696075	3.427697595	1
-9.639209127	0.127354772	1
7.128396464	3.218149078	1
3.690711606	6.63046627	1
-6.394353154	-7.605215591	1
4.7746283	5.099510708	1
-4.506982438	-6.293114637	1
8.451145164	-4.385588768	1
7.421084107	4.855536784	1
5.318329203	7.974466055	1
-4.709804839	-6.166379155	1
-8.210524967	3.37320455	1
-6.456456048	5.67038423	1
-8.265485382	0.974137882	1
4.219963716	-4.645341629	1
-3.489367379	7.237766132	1
2.388543216	-6.259721537	1
1.772789273	7.373846072	1
-7.094891996	3.161367392	1
-6.213624222	0.349811204	1
-2.571950848	5.740285912	1
-0.769084529	-9.902370409	1
1.812387775	-8.147503759	1
-6.276600268	3.420013004	1
6.268701553	6.092066662	1
-1.63692103	-8.255223174	1
-8.587390682	3.904546484	1
6.512724385	-2.62616143	1
-6.407566585	-2.787938367	1
6.498965234	-6.461025755	1
-6.785018402	-2.217535177	1
-3.702612743	8.271403485	1
-4.769397267	6.032560907	1
-7.246303264	3.647756545	1
5.156312288	-4.900190648	1
-6.874687313	7.244809886	1
-5.577910433	6.472320431	1
-4.19559029	5.28847933	1
-0.567972187	-6.966427266	1
-0.51742928	-9.887754115	1
3.605544325	8.636435688	1
7.212241886	0.795337228	1
-5.714699164	3.00535021	1
6.581697752	4.997498547	1
5.179989639	-3.752288813	1
2.242410417	8.057825398	1
6.808991925	2.46600708	1
-6.633687749	-2.02378786	1
-3.038677302	5.219891728	1
-0.019379421	7.869814867	1
1.182742759	-6.444290316	1
8.221951845	5.288461508	1
5.573261486	-3.93397544	1
2.500821111	8.781338869	1
5.138906701	3.472123462	1
-3.943980708	-5.785227109	1
5.78414246	3.356514948	1
9.292231699	-0.386020658	1
-6.264953578	5.086135051	1
-2.540720571	-7.587887554	1
-7.843034394	1.031602403	1
1.196379444	9.388429356	1
3.777326174	-8.92057988	1
8.296125756	-4.909316286	1
0.737953232	-7.530830233	1
5.978471462	-6.94262255	1
-0.489285103	6.354464493	1
4.079366927	-6.230638096	1
-3.321072034	7.188017387	1
-7.295841877	4.475863119	1
-1.873420841	6.901703526	1
-2.62339394	-5.61263783	1
0.63015997	-6.001424734	1
7.046448569	0.050080026	1
-8.264984245	5.124659781	1
7.207151899	2.548803593	1
1.882469634	6.920000675	1
-3.241717915	-7.380828143	1
-7.173610825	5.534064983	1
3.788664073	6.783792839	1
3.857036221	8.600523318	1
-7.607320695	4.361115737	1
-5.839947538	1.539844786	1
-5.923638789	7.512871472	1
-2.168648584	8.340891379	1
9.319876402	1.374316941	1
1.776552614	-6.483523498	1
9.646742701	0.483645111	1
-1.121738317	-6.582466657	1
-7.947689375	1.468586243	1
-2.8129189	-9.463338668	1
5.299021822	-8.181029931	1
-3.174597863	-7.713053508	1
1.308623933	6.227450295	1
-1.517800418	-9.171356573	1
5.627668228	3.223542088	1
5.424027186	4.233436704	1
-7.534606566	-0.329355068	1
-5.862383392	-6.341838266	1
-7.142859366	3.114573835	1
